State,n_points,Lat,Lon,N_gap_deep,P_gap_deep,K_gap_deep,N_gap_restricted,P_gap_restricted,K_gap_restricted,Temp_trend_C_per_decade,Precip_trend_mm_per_decade,ph,carbon_organic,Urea_kg_ha_deep,TSP_kg_ha_deep,MOP_kg_ha_deep,Urea_bags_ha_deep,TSP_bags_ha_deep,MOP_bags_ha_deep,Urea_kg_ha_restricted,TSP_kg_ha_restricted,MOP_kg_ha_restricted,Urea_bags_ha_restricted,TSP_bags_ha_restricted,MOP_bags_ha_restricted
Abia,1,5.8,7.7,0.0,0.0,29.3611968666007,0.0,39.0539958653846,201.786580499742,0.331,-23.0,5.5,11.18,0.0,0.0,59.0,0.0,0.0,1.2,0.0,194.0,405.0,0.0,3.9,8.1
Adamawa,5,8.9,12.1,0.0,0.0,0.0,14.42392798396078,0.0,36.81532215599038,0.466,2.6800000000000006,6.12,6.4159999999999995,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,74.0,0.6,0.0,1.5
Akwa Ibom,3,4.966666666666666,7.866666666666666,0.0,0.0,12.3348679865382,0.0,4.0244853525641,171.7932615587907,0.2973333333333333,-1.8,5.366666666666667,11.219999999999999,0.0,0.0,25.0,0.0,0.0,0.5,0.0,20.0,345.0,0.0,0.4,6.9
Anambra,1,5.8,6.7,0.0,0.0,39.8265150018186,0.0,61.7340822884616,215.522686101909,0.277,-6.2,5.3,12.46,0.0,0.0,80.0,0.0,0.0,1.6,0.0,307.0,433.0,0.0,6.1,8.7
Bauchi,8,10.05,9.95,0.0,0.0,0.0,32.961554429236145,11.405039807692313,23.679466430862288,0.207875,30.15,6.1375,6.1725,0.0,0.0,0.0,0.0,0.0,0.0,72.0,57.0,48.0,1.4,1.1,1.0
Bayelsa,3,4.633333333333333,6.033333333333334,0.0,0.0,65.80919087134103,0.0,30.408100397435902,249.62588057333167,0.25633333333333336,-34.26666666666667,5.166666666666667,17.143333333333334,0.0,0.0,132.0,0.0,0.0,2.6,0.0,151.0,501.0,0.0,3.0,10.0
Benue,9,7.355555555555556,8.81111111111111,0.0,0.0,1.0984732663359245,5.932116247239011,33.889046803418815,113.7120019822233,0.5054444444444445,-3.7333333333333325,5.777777777777778,6.772222222222222,0.0,0.0,2.0,0.0,0.0,0.0,13.0,169.0,228.0,0.3,3.4,4.6
Borno,2,10.3,11.95,0.0,0.0,0.0,1.024472713683535,0.0,128.14972560721304,0.23249999999999998,24.95,6.5,6.539999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,257.0,0.0,0.0,5.1
Cross River,5,6.0,8.5,0.0,0.0,31.753568642469002,0.0,34.70632210384614,179.74461032855075,0.4422,-16.98,5.38,11.602,0.0,0.0,64.0,0.0,0.0,1.3,0.0,173.0,361.0,0.0,3.5,7.2
Delta,6,5.716666666666666,5.95,0.0,0.0,53.86099683919475,0.0,34.1266978153846,225.2852680426172,0.2548333333333333,-12.233333333333334,5.266666666666667,13.631666666666668,0.0,0.0,108.0,0.0,0.0,2.2,0.0,170.0,452.0,0.0,3.4,9.0
Ebonyi,2,6.3,7.949999999999999,0.0,0.0,0.0,0.0,62.05072902884615,88.82536909685436,0.4165,-3.9499999999999997,5.55,9.024999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,178.0,0.0,6.2,3.6
Edo,6,6.633333333333333,5.783333333333334,0.0,0.0,61.01612283245024,0.0,63.82164600000001,241.46957624892448,0.25116666666666665,0.8333333333333334,5.566666666666666,12.056666666666667,0.0,0.0,123.0,0.0,0.0,2.5,0.0,318.0,485.0,0.0,6.4,9.7
Ekiti,2,7.8,5.45,0.0,0.0,43.774571772565054,0.0,66.8615953173077,220.70465229019152,0.222,-0.1499999999999999,5.75,10.02,0.0,0.0,88.0,0.0,0.0,1.8,0.0,333.0,443.0,0.0,6.7,8.9
Enugu,3,6.633333333333333,7.366666666666667,0.0,0.0,0.127841890896464,0.0,41.5740054679487,103.35303505139397,0.38466666666666666,2.1666666666666665,5.5,9.456666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,208.0,0.0,4.1,4.2
Federal Capital Territory,1,8.8,7.2,0.0,0.0,0.0,0.0,0.0,137.420708091682,0.532,10.7,5.8,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,5.5
Gombe,3,9.966666666666667,11.366666666666665,0.0,0.0,0.0,0.12318828611305033,0.0,102.70889544616365,0.25133333333333335,10.9,6.433333333333334,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,4.1
Imo,2,5.55,7.2,0.0,0.0,36.484225926316796,0.0,44.72401747115385,211.135811751709,0.313,-0.5,5.45,11.82,0.0,0.0,73.0,0.0,0.0,1.5,0.0,223.0,424.0,0.0,4.5,8.5
Kaduna,8,9.925,7.949999999999999,0.0,0.0,0.0,47.65131825882266,35.66853376923078,64.78568055390907,0.390125,2.5625,5.85,6.91625,0.0,0.0,0.0,0.0,0.0,0.0,104.0,178.0,130.0,2.1,3.6,2.6
Kebbi,1,10.3,4.7,0.0,0.0,0.0,78.7960098768305,0.0,93.6216513716029,0.146,36.9,5.9,5.05,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,188.0,3.4,0.0,3.8
Kogi,10,7.65,6.8,0.0,0.0,4.60800846359026,0.0,25.01346705576924,130.08152244236894,0.3889,9.959999999999999,5.86,8.611,0.0,0.0,9.0,0.0,0.0,0.2,0.0,125.0,261.0,0.0,2.5,5.2
Kwara,12,9.008333333333335,4.325,0.0,0.0,0.43416094728334587,2.39712492321355,19.344845751602584,113.64567191742263,0.21358333333333335,28.666666666666668,6.0249999999999995,6.8808333333333325,0.0,0.0,1.0,0.0,0.0,0.0,5.0,96.0,228.0,0.1,1.9,4.6
Nassarawa,8,8.4875,8.2,0.0,0.0,1.694359889596275,18.484182703091637,28.65318620913464,98.81806152015739,0.556125,10.875,5.8875,6.1525,0.0,0.0,3.0,0.0,0.0,0.1,40.0,143.0,198.0,0.8,2.9,4.0
Niger,21,9.633333333333335,5.842857142857143,0.0,0.0,5.218276248501047,28.477721233961358,32.96051443498169,130.98207498315156,0.34923809523809524,19.15714285714286,5.933333333333333,6.118571428571429,0.0,0.0,10.0,0.0,0.0,0.2,62.0,164.0,263.0,1.2,3.3,5.3
Ogun,4,6.925,3.7,0.0,0.0,46.0492757338051,0.0,63.53663642307705,223.690282867452,0.13025,49.675,5.6,10.6575,0.0,0.0,92.0,0.0,0.0,1.8,0.0,316.0,449.0,0.0,6.3,9.0
Ondo,5,6.9,5.2,0.0,0.0,33.67259383659348,0.0,43.129082603846165,199.8090226285194,0.2158,17.259999999999998,5.54,11.824,0.0,0.0,68.0,0.0,0.0,1.4,0.0,215.0,401.0,0.0,4.3,8.0
